date,homeTeam,awayTeam,homeScore,awayScore,elo_home_before,elo_away_before,expected_home,expected_away,result_home,result_away,G,elo_home_after,elo_away_after
21/02/2026,K. Eendr. Wervik A,K. VC Ardooie A,0,1,1570.49,1522.11,0.5692,0.4308,0.0,1.0,1.0,1553.41,1539.18
21/02/2026,S.V. Wevelgem City A,K.S.C. Wielsbeke,4,0,1504.62,1655.44,0.2956,0.7044,1.0,0.0,1.875,1544.24,1615.82
22/02/2026,K. SV Moorsele A,K. FC Heist A,0,1,1408.62,1491.03,0.3836,0.6164,0.0,1.0,1.0,1397.11,1502.54
22/02/2026,K. SV Bredene A,K. FC Varsenare A,0,4,1188.72,1552.74,0.1095,0.8905,0.0,1.0,1.875,1182.56,1558.9
22/02/2026,Club Roeselare,K. WS Oudenburg,2,0,1448.99,1432.58,0.5236,0.4764,1.0,0.0,1.625,1472.22,1409.35
22/02/2026,K.R.C. Waregem A,K. FC Marke A,0,0,1551.5,1530.35,0.5304,0.4696,0.5,0.5,1.0,1550.58,1531.26
28/02/2026,K. FC Varsenare A,K.S.C. Wielsbeke,2,1,1558.9,1615.82,0.4188,0.5812,1.0,0.0,1.0,1576.34,1598.39
28/02/2026,K. VC Ardooie A,K. RC Bissegem,1,0,1539.18,1559.66,0.4706,0.5294,1.0,0.0,1.0,1555.07,1543.78
28/02/2026,Zwevegem Sport,K. Eendr. Wervik A,3,1,1586.34,1553.41,0.5473,0.4527,1.0,0.0,1.625,1608.41,1531.34
28/02/2026,FC Sp. Heestert A,KFC Aalbeke Sport A,3,2,1490.26,1506.55,0.4766,0.5234,1.0,0.0,1.0,1505.96,1490.84
01/03/2026,K. FC Heist A,S.V. Wevelgem City A,1,1,1502.54,1544.24,0.4403,0.5597,0.5,0.5,1.0,1504.33,1542.45
01/03/2026,K. WS Oudenburg,K. SV Moorsele A,3,1,1409.35,1397.11,0.5176,0.4824,1.0,0.0,1.625,1432.87,1373.59
01/03/2026,Club Roeselare,K.R.C. Waregem A,0,3,1472.22,1550.58,0.3891,0.6109,0.0,1.0,1.75,1451.79,1571.01
